Идентификатор УБИ,Наименование УБИ,Описание,Лемматизированное описание
185,Угроза несанкционированного изменения параметров настройки средств защиты информации,"Угроза заключается в возможности осуществления нарушителем несанкционированного изменения параметров настройки средства защиты информации. Данная угроза обусловлена слабостями мер разграничения доступа к конфигурационным файлам средства защиты информации. Реализация данной угрозы возможна при условии получения нарушителем прав доступа к программному интерфейсу управления средством защиты информации, а также при наличии у нарушителя сведений о структуре и формате файлов конфигурации средства защиты информации","изменение параметр настройка средство защита информация слабость мера разграничение доступ конфигурационный файл средство защита информация реализация нарушитель право доступ программный интерфейс управление средство защита информация также наличие нарушитель сведение структура формат файл конфигурация средство защита информация
"
186,"Угроза внедрения вредоносного кода через рекламу, сервисы и контент","Угроза заключается в возможности внедрения нарушителем в информационную систему вредоносного кода посредством рекламы, сервисов и (или) контента (т.е. убеждения пользователя системы активировать ссылку, код и др.) при посещении пользователем системы сайтов в сети Интернет или установкой программ с функцией показа рекламы._x000D_
Данная угроза обусловлена слабостями механизмов фильтрации сетевого трафика и антивирусного контроля на уровне организации._x000D_
Реализация данной угрозы возможна при условии посещения пользователями системы с рабочих мест сайтов в сети Интернет","вредоносный код посредством реклама сервис контент убеждение пользователь система активировать ссылка код посещение пользователь система сайт сеть интернет установка программа функция показ реклама слабость механизм фильтрация сетевой трафик антивирусный контроль уровень организация реализация дать угроза возможный условие посещение пользователь система рабочий место сайт сеть интернет
"
187,Угроза несанкционированного воздействия на средство защиты информации,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к программной среде управления средством защиты информации и изменения режима его функционирования._x000D_
Угроза обусловлена наличием у средств защиты информации программной среды управления и взаимодействия с пользователями системы._x000D_
Реализация данной угрозы возможна при условии получения нарушителем прав доступа к программному интерфейсу управления средством защиты информации","угроза заключаться возможность осуществление нарушитель несанкционированный доступ программный среда управление средство защита информация изменение режим функционирование угроза обусловить наличие средство защита информация программный среда управление взаимодействие пользователь система реализация дать угроза возможный условие получение нарушитель право доступ программный интерфейс управление средство защита информация
"
188,Угроза подмены программного обеспечения,"Угроза заключается в возможности осуществления нарушителем внедрения в систему вредоносного программного обеспечения за счёт загрузки и установки вредоносного программного обеспечения, скрытого под видом легитимного свободно распространяемого программного обеспечения._x000D_
Данная угроза обусловлена наличием у пользователя прав для установки программного обеспечения из сети Интернет._x000D_
Реализация данной угрозы возможна при скачивании программного обеспечения в сети Интернет","внедрение система вредоносный программный обеспечение загрузка установка вредоносный программный обеспечение скрытый вид легитимный распространять программный обеспечение установка программный обеспечение сеть интернет возможный скачивание программный обеспечение сеть интернет
"
189,Угроза маскирования действий вредоносного кода,"Угроза заключается в возможности сокрытия в системе действий вредоносного кода за счет применения специальных механизмов маскирования кода (архивирование, изменение формата данных и др.), которые препятствуют его дальнейшему анализу._x000D_
Данная угроза обусловлена наличием способов маскирования программного кода, не учтенных сигнатурными базами средств защиты информации, а также механизмов операционной системы, позволяющих осуществить поиск модулей средств защиты информации._x000D_
Реализация данной угрозы возможна при условии использования в системе устаревших версий средств защиты информации","сокрытие система действие вредоносный код специальный механизм маскирование код архивирование изменение формат данные препятствовать анализ способ маскирование программный код учесть сигнатурный база средство защита информация также механизм операционный система позволять осуществить поиск модуль средство защита информация реализация дать угроза возможный условие использование система устаревший версия средство защита информация
"
190,Угроза внедрения вредоносного кода за счет посещения зараженных сайтов в сети Интернет,"Угроза заключается в возможности осуществления нарушителем внедрения вредоносного кода в компьютер пользователя при посещении зараженных сайтов. Нарушитель выявляет наиболее посещаемые пользователем сайты, затем их взламывает и внедряет в них вредоносный код. Данная угроза обусловлена слабостями мер антивирусной защиты, а также отсутствием правил межсетевого экранирования. Реализация данной угрозы возможна при:_x000D_
неограниченном доступе пользователя в сеть Интернет;_x000D_
наличии у нарушителя сведений о сайтах, посещаемых пользователем","угроза заключаться возможность осуществление нарушитель внедрение вредоносный код компьютер пользователь посещение заразить сайт нарушитель выявлять наиболее посещать пользователь сайт затем взламывать внедрять вредоносный код дать угроза обусловить слабость мера антивирусный защита также отсутствие правило межсетевой экранирование реализация дать угроза возможный неограниченный доступ пользователь сеть интернет наличие нарушитель сведение сайт посещать пользователь
"
191,Угроза внедрения вредоносного кода в дистрибутив программного обеспечения,"Угроза заключается в возможности осуществления нарушителем заражения системы путем установки недоверенного дистрибутива, в который внедрен вредоносный код. Данная угроза обусловлена слабостями мер антивирусной защиты. Реализация данной угрозы возможна при: применении пользователем сторонних дистрибутивов; отсутствии антивирусной проверки перед установкой дистрибутива","заражение система установка недоверенный дистрибутив внедрить вредоносный код дать угроза обусловить слабость мера антивирусный защита реализация дать угроза возможный применение пользователь сторонний дистрибутив отсутствие антивирусный проверка установка дистрибутив
"
192,Угроза использования уязвимых версий программного обеспечения,"Угроза заключается в возможности осуществления нарушителем деструктивного воздействия на систему путём эксплуатации уязвимостей программного обеспечения. Данная угроза обусловлена слабостями механизмов анализа программного обеспечения на наличие уязвимостей. Реализация данной угрозы возможна при отсутствии проверки перед применением программного обеспечения на наличие в нем уязвимостей или использованием программного обеспечения, поддержка которого была прекращена производителем","угроза заключаться возможность осуществление нарушитель деструктивный воздействие система путём эксплуатация уязвимость программный обеспечение дать угроза обусловить слабость механизм анализ программный обеспечение наличие уязвимость реализация дать угроза возможный отсутствие проверка применение программный обеспечение наличие немой уязвимость использование программный обеспечение поддержка который прекратить производитель
"
193,Угроза утечки информации за счет применения вредоносным программным обеспечением алгоритмов шифрования трафика,"Угроза заключается в возможности утечки информации за счет применения вредоносным программным обеспечением алгоритмов шифрования трафика, скрывающих сам факт передачи данных._x000D_
Данная угроза обусловлена слабостями мер защиты информации при хранении, обработке и передаче информационных ресурсов._x000D_
Реализация данной угрозы возможна: _x000D_
при условии успешного внедрения в дискредитируемую систему указанного вредоносного программного обеспечения;_x000D_
при отсутствии или недостаточной реализации мер межсетевого экранирования","утечка информация применение вредоносный программный обеспечение алгоритм шифрование трафик скрывать передача данные слабость мера защита информация хранение обработка передача информационный ресурс реализация внедрение система указанный вредоносный программный обеспечение отсутствие недостаточный реализация мера межсетевой экранирование
"
194,Угроза несанкционированного использования привилегированных функций мобильного устройства,"Угроза заключается в возможности снятия нарушителем предустановленных производителем ограничений на конфигурирование привилегированных функций мобильного устройства. Данная угроза обусловлена наличием уязвимостей в операционных системах мобильного устройства, позволяющих получить доступ к настройкам привилегированных функций. _x000D_
Реализация данной угрозы возможна при получении нарушителем доступа к мобильному устройству","угроза заключаться возможность снятие нарушитель предустановленный производитель ограничение функция мобильный устройство дать угроза мобильный устройство позволять получить доступ настройка функция реализация дать угроза возможный получение нарушитель доступ мобильный устройство
"
195,Угроза удаленного запуска вредоносного кода в обход механизмов защиты операционной системы,"Угроза заключается в возможности удаленного запуска вредоносного кода за счет создания приложений, использующих обход механизмов защиты, встроенных в операционную систему._x000D_
Данная угроза обусловлена ошибками в процессорах (например, ошибками в процессоре Intel поколения Haswell), позволяющими за счет создания специальных приложений осуществлять обход механизмов защиты, встроенных в операционную систему (например, механизма ASLR)._x000D_
Реализация данной угрозы возможна при: инициировании коллизии в таблице целевых буферов - с ее помощью можно узнать участки памяти, где находятся конкретные фрагменты кода;_x000D_
создании приложения, использующего эти фрагменты кода для обхода механизма защиты;_x000D_
запуске данного приложения в связке с эксплойтом какой-либо уязвимости самой операционной системы для создания возможности удаленного запуска вредоносного кода","удалённый запуск вредоносный код создание приложение обход механизм защита встроить операционный система ошибка процессор например ошибка процессор поколение специальный приложение осуществлять обход механизм защита встроить операционный система например механизм реализация дать угроза возможный инициирование коллизия таблица целевой буфер помощь узнать участок память находиться конкретный фрагмент код создание приложение использовать фрагмент код обход механизм защита запуск данный приложение связка эксплойтом какойлибо уязвимость сам операционный система создание возможность удалённый запуск вредоносный код
"
196,"Угроза контроля вредоносной программой списка приложений, запущенных на мобильном устройстве","Угроза заключается в возможности использования вредоносной программы для контроля списка приложений, запущенных на мобильном устройстве._x000D_
Данная угроза обусловлена недостаточностью мер по антивирусной защите, что позволяет выполнить неконтролируемый запуск вредоносных программ (отсутствие контроля разрешенного программного обеспечения). Реализация данной угрозы возможна при условии, что вредоносная программа внедрена на мобильном устройстве и непреднамеренно запущена самим пользователем","угроза заключаться возможность использование вредоносный программа контроль список приложение запустить мобильный устройство дать угроза обусловить недостаточность мера антивирусный защита позволять выполнить неконтролируемый запуск вредоносный программа отсутствие контроль разрешить программный обеспечение реализация дать угроза возможный условие вредоносный программа внедрить мобильный устройство непреднамеренный запустить сам пользователь
"
197,Угроза хищения аутентификационной информации из временных файлов cookie,"Угроза заключается в возможности хищения с использованием вредоносной программы аутентификационной информации пользователей, их счетов, хранящейся во временных файлах cookie, и передачи этой информации нарушителям через открытый RDP-порт._x000D_
Данная угроза обусловлена недостаточностью мер антивирусной защиты, что позволяет выполнить неконтролируемый запуск вредоносного программного обеспечения (отсутствие контроля разрешенного программного обеспечения)._x000D_
Кроме того, данная угроза обусловлена непринятием мер по стиранию остаточной информации из временных файлов (очистке временных файлов)._x000D_
Реализация данной угрозы возможна при условии, что на атакуемом компьютере открыт RDP-порт","хищение вредоносный программа аутентификационный информация пользователь храниться временной файл передача информация нарушитель открытый порт днедостаточность мера антивирусный защита неконтролируемый запуск вредоносный программный обеспечение отсутствие контроль разрешить программный обеспечение кроме дать угроза обусловить непринятие мера стирание остаточный информация временной файл очистка временной файл реализация атаковать компьютер открыть порт
"
198,Угроза скрытной регистрации вредоносной программой учетных записей администраторов,"Угроза заключается в возможности скрытного создания внедренной вредоносной программой учетных записей с правами администратора с целью последующего их использования для несанкционированного доступа к пользовательской информации и к настройкам программного обеспечения, установленного на инфицированном компьютере._x000D_
Данная угроза обусловлена недостаточностью мер по антивирусной защите, что позволяет выполнить неконтролируемый запуск вредоносного программного обеспечения (отсутствие контроля разрешенного программного обеспечения)._x000D_
Кроме того, данная угроза обусловлена недостаточностью мер по разграничению доступа (контроль создания учетных записей пользователей)._x000D_
Реализация данной угрозы возможна при условии, что на атакуемом компьютере открыт RDP-порт","скрытный создание внедрить вредоносный программа учётный запись администратор инфицировать компьютер недостаточность мера антивирусный защита выполнить неконтролируемый запуск вредоносный программный обеспечение отсутствие контроль разрешить программный обеспечение недостаточность мера разграничение доступ контроль создание учётный запись пользователь реализация дать угроза возможный условие атаковать компьютер порт
"
199,Угроза перехвата управления мобильного устройства при использовании виртуальных голосовых ассистентов,"Угроза заключается в возможности управления мобильным устройством и запущенными на нем приложениями от имени легального пользователя за счет передачи этих команд через виртуальных голосовых ассистентов (например, через Siri для IPhone)._x000D_
Данная угроза обусловлена проблемами аутентификации пользователя, в частности по Voice ID. Голосовой ассистент не может быть полностью уверен в том, что обращающийся к нему голос принадлежит владельцу устройства, поэтому для удобства пользователей и гарантии срабатывания устанавливается низкая чувствительность Voice ID. Это позволяет нарушителю использовать записанную на диктофон речь владельца мобильного устройства. Реализация данной угрозы возможна при условии, что виртуальный голосовой ассистент находится в активном состоянии (то есть, не отключен) и установлена низкая чувствительность голосового идентификатора","угроза заключаться возможность управление мобильный устройство запустить немой приложение имя легальный пользователь счёт передача этот команда виртуальный голосовой ассистент например дать угроза обусловить проблема аутентификация пользователь частность голосовой ассистент полностью уверенный обращаться он голос принадлежать владелец устройство поэтому удобство пользователь гарантия срабатывание устанавливаться низкий чувствительность это позволять нарушитель использовать записать диктофон речь владелец мобильный устройство реализация дать угроза возможный условие виртуальный голосовой ассистент находиться активный состояние отключить установить низкий чувствительность голосовой идентификатор
"
200,Угроза хищения информации с мобильного устройства при использовании виртуальных голосовых ассистентов,"Угроза заключается в возможности хищения данных пользователя с его мобильного устройства через виртуальных голосовых ассистентов (например, через Siri для IPhone)._x000D_
Данная угроза обусловлена проблемами аутентификации пользователя, в частности по Voice ID. Голосовой ассистент не может быть полностью уверен в том, что обращающейся к нему голос принадлежит владельцу устройства, поэтому для удобства пользователей и гарантии срабатывания устанавливается низкая чувствительность Voice ID. Это позволяет нарушителю использовать записанную на диктофон речь владельца мобильного устройства. Реализация данной угрозы возможна при условии, что виртуальный голосовой ассистент находится в активном состоянии (то есть не отключен) и установлена низкая чувствительность голосового идентификатора","угроза заключаться возможность хищение данные пользователь мобильный устройство виртуальный голосовой ассистент например дать угроза обусловить проблема аутентификация пользователь частность голосовой ассистент полностью уверенный обращаться он голос принадлежать владелец устройство поэтому удобство пользователь гарантия срабатывание устанавливаться низкий чувствительность это позволять нарушитель использовать записать диктофон речь владелец мобильный устройство реализация дать угроза возможный условие виртуальный голосовой ассистент находиться активный состояние отключить установить низкий чувствительность голосовой идентификатор
"
201,Угроза утечки пользовательских данных при использовании функций автоматического заполнения аутентификационной информации в браузере,"Угроза заключается в возможности утечки пользовательских данных за счет использования реализованной в браузерах функции автоматического заполнение форм авторизации._x000D_
Реализация данной угрозы обусловлена хранением в браузерах в открытом виде пользовательских данных, используемых для автозаполнения форм авторизации._x000D_
Реализация данной угрозы возможна при условии, что пользователь использует браузер, в котором реализована и активирована функция автоматического заполнения форм авторизации","утечка пользовательский данные использование браузер автоматический заполнение форма авторизация хранение браузер открытый вид пользовательский данные автозаполнение форма авторизация реализация использовать браузер который реализовать активировать функция автоматический заполнение форма авторизация
"
202,Угроза несанкционированной установки приложений на мобильные устройства,"Угроза заключается в возможности установки приложений на виртуальные машины мобильных устройств, работающих под управлением операционной системы Android, несанкционированно запущенных внедренной вредоносной программой. Вредоносная программа запускает виртуальную машину на мобильном устройстве, размещает (устанавливает) в этой виртуальной машине неограниченное количество приложений._x000D_
Данная угроза обусловлена недостаточностью мер по контролю за запуском прикладного программного обеспечения, что позволяет выполнить неконтролируемый запуск вредоносного прикладного программного обеспечения по факту совершения пользователем различных действий в системе (например, при попытке закрытия пользователем нежелательной рекламы)._x000D_
Реализация данной угрозы возможна при условии наличия на мобильном устройстве вредоносной программы, способной запустить виртуальную машину и установить в эту виртуальную машину приложение","угроза заключаться возможность установка приложение виртуальный машина мобильный устройство работать управление операционный система несанкционированный запустить внедрить вредоносный программа вредоносный программа запускать виртуальный машина мобильный устройство размещать устанавливать виртуальный машина неограниченный количество приложение дать угроза обусловить недостаточность мера контроль запуск прикладной программный обеспечение позволять выполнить неконтролируемый запуск вредоносный прикладной программный обеспечение факт совершение пользователь различный действие система например попытка закрытие пользователь нежелательный реклама реализация дать угроза возможный условие наличие мобильный устройство вредоносный программа способный запустить виртуальный машина установить виртуальный машина приложение
"
203,Угроза утечки информации с неподключенных к сети Интернет компьютеров,"Угроза заключается в возможности хищения данных с неподключенных к сети Интернет компьютеров за счет компрометации их аппаратных элементов или устройств коммутационного оборудования (например, маршрутизаторов), оснащенных LED-индикаторами, фиксации мерцания этих индикаторов и расшифровки полученных результатов._x000D_
Реализация данной угрозы обусловлена тем, что существует возможность несанкционированного получения управления этими индикаторами (с помощью специальной прошивки или повышения привилегий и выполнения вредоносного кода), позволяющего передавать информацию путем ее преобразования в последовательность сигналов индикаторов компьютеров и коммутационного оборудования._x000D_
Реализация данной угрозы возможна при условии, что злоумышленником получен физический доступ к компрометируемому компьютеру или коммутационному оборудованию для установки средства визуального съема сигналов LED-индикаторов","угроза заключаться возможность хищение данные неподключённый сеть интернет компьютер счёт компрометация аппаратный элемент устройство коммутационный оборудование например маршрутизатор оснастить индикатор фиксация мерцание этот индикатор расшифровка получить результат реализация дать угроза обусловить существовать возможность несанкционированный получение управление этот индикатор помощь специальный прошивка повышение привилегия выполнение вредоносный код позволять передавать информация путём преобразование последовательность сигнал индикатор компьютер коммутационный оборудование реализация дать угроза возможный условие злоумышленник получить физический доступ компрометировать компьютер коммутационный оборудование установка средство визуальный съём сигнал индикатор
"
204,Угроза несанкционированного изменения вредоносной программой значений параметров программируемых логических контроллеров,"Угроза заключается в возможности несанкционированного изменения вредоносной программой значений параметров контроля и управления исполнительными устройствами в программируемых логических контроллерах после ее проникновения и авторизации на данных устройствах._x000D_
Реализация угрозы обусловлена возможностью вредоносной программы обнаруживать в сети программируемые логические контроллеры, проникать и функционировать в операционной системе программируемых логических контроллеров, а также недостатками механизмов аутентификации._x000D_
Реализация данной угрозы возможна при условии, что существует возможность доступа к элементам автоматизированной системы управления технологическими процессами по сети Интернет","изменение вредоносный программа значение параметр контроль управление исполнительный устройство программировать логический контроллер проникновение авторизация данные устройство вредоносный программа обнаруживать сеть программировать логический контроллер недостаток механизм аутентификация реализация дать угроза возможный условие существовать возможность доступ элемент автоматизированный система управление технологический процесс сеть интернет
"
205,Угроза нарушения работы компьютера и блокирования доступа к его данным из-за некорректной работы установленных на нем средств защиты,"Угроза заключается в возможности нарушения работы компьютера и отказа в доступе к его данным за счет ошибочного блокирования средством защиты информации файлов._x000D_
Реализация данной угрозы обусловлена тем, что на компьютере установлено средство защиты информации, реализующее функцию блокирования файлов","угроза заключаться возможность нарушение работа компьютер отказ доступ данные счёт ошибочный блокирование средство защита информация файл реализация дать угроза обусловить компьютер установить средство защита информация реализовать функция блокирование файл
"
